codigo,material,categoria
229,ESPIGA REDUCCIÓN Ø1’’ A 3/4”,Espigas
234,ESPIGA DOBLE Ø2”,Espigas
260,JUNTA GIBAULT A°C° Ø50 mm CLASE 3,Juntas Gibault
261,JUNTA GIBAULT A°C° Ø50 mm CLASE 5,Juntas Gibault
262,JUNTA GIBAULT A°C° Ø50 mm CLASE 7,Juntas Gibault
263,JUNTA GIBAULT A°C° Ø60 mm CLASE 3,Juntas Gibault
264,JUNTA GIBAULT A°C° Ø60 mm CLASE 5,Juntas Gibault
265,JUNTA GIBAULT A°C° Ø60 mm CLASE 7,Juntas Gibault
266,JUNTA GIBAULT A°C°Ø75mm CLASE 3,Juntas Gibault
267,JUNTA GIBAULT A°C° Ø75 mm CLASE 5,Juntas Gibault
268,JUNTA GIBAULT A°C° Ø75mm CLASE 7,Juntas Gibault
269,JUNTA GIBAULT A°C° Ø90mm CLASE 3,Juntas Gibault
270,JUNTA GIBAULT A°C° Ø90mm CLASE 5,Juntas Gibault
271,JUNTA GIBAULT A°C° Ø90mm CLASE 7,Juntas Gibault
272,JUNTA GIBAULT A°C° Ø90mm CLASE 10,Juntas Gibault
273,JUNTA GIBAULT A°C° Ø100mm CLASE 3,Juntas Gibault
274,JUNTA GIBAULT A°C° Ø100mm CLASE 5,Juntas Gibault
275,JUNTA GIBAULT A°C° Ø100mm CLASE 7,Juntas Gibault
276,JUNTA GIBAULT A°C° Ø100mm CLASE 10,Juntas Gibault
277,JUNTA GIBAULT A°C° Ø125mm CLASE 3,Juntas Gibault
278,JUNTA GIBAULT A°C° Ø125mm CLASE 5,Juntas Gibault
279,JUNTA GIBAULT A°C° Ø125mm CLASE 7,Juntas Gibault
280,JUNTA GIBAULT A°C° Ø125mm CLASE 10,Juntas Gibault
281,JUNTA GIBAULT A°C° Ø150mm CLASE 3,Juntas Gibault
282,JUNTA GIBAULT A°C° Ø150mm CLASE 5,Juntas Gibault
283,JUNTA GIBAULT A°C°Ø150mm CLASE 7,Juntas Gibault
284,JUNTA GIBAULT A°C° Ø150mm CLASE 10,Juntas Gibault
285,JUNTA GIBAULT A°C° Ø175mm CLASE 3,Juntas Gibault
286,JUNTA GIBAULT A°C° Ø175mm CLASE 5,Juntas Gibault
287,JUNTA GIBAULT A°C° Ø175mm CLASE 7,Juntas Gibault
288,JUNTA GIBAULT A°C° Ø175mm CLASE 10,Juntas Gibault
289,JUNTA GIBAULT A°C° Ø200mm CLASE 3,Juntas Gibault
290,JUNTA GIBAULT A°C° Ø200mm CLASE 5,Juntas Gibault
291,JUNTA GIBAULT A°C° Ø200mm CLASE 7,Juntas Gibault
292,JUNTA GIBAULT A°C° Ø200mm CLASE 10,Juntas Gibault
293,JUNTA GIBAULT A°C° Ø225mm CLASE 3,Juntas Gibault
294,JUNTA GIBAULT A°C° Ø225mm CLASE 5,Juntas Gibault
295,JUNTA GIBAULT A°C° Ø225mm CLASE 7,Juntas Gibault
296,JUNTA GIBAULT A°C° Ø225mm CLASE 10,Juntas Gibault
297,JUNTA GIBAULT A°C° Ø250mm CLASE 3,Juntas Gibault
298,JUNTA GIBAULT A°C° Ø250mm CLASE 5,Juntas Gibault
299,JUNTA GIBAULT A°C° Ø250mm CLASE 7,Juntas Gibault
300,JUNTA GIBAULT A°C° Ø250mm CLASE 10,Juntas Gibault
301,JUNTA GIBAULT A°C° Ø300mm CLASE 3,Juntas Gibault
302,JUNTA GIBAULT A°C° Ø300mm CLASE 5,Juntas Gibault
303,JUNTA GIBAULT A°C° Ø300mm CLASE 7,Juntas Gibault
304,JUNTA GIBAULT A°C° Ø300mm CLASE 10,Juntas Gibault
305,JUNTA GIBAULT A°C° Ø325mm CLASE 3,Juntas Gibault
306,JUNTA GIBAULT A°C° Ø325mm CLASE 5,Juntas Gibault
