codigo,material,categoria
652,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 175mm Dext:215mm C10,Tuberías PVC
653,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 200mm Dext:246mm C10,Tuberías PVC
654,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 225mm Dext:275mm C10,Tuberías PVC
655,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 250mm Dext:306mm C10,Tuberías PVC
656,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 300mm Dext:368mm C10,Tuberías PVC
657,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 350mm Dext:428mm C10,Tuberías PVC
658,JUNTAMAS DE H° F° P/CAÑO AºCº ØDn: 400mm Dext:490mm C10,Tuberías PVC
662,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø40mm Long. 90mm,Tuberías PVC
663,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø40mm Long. 200mm EXTRALARGA,Tuberías PVC
664,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø50mm Long. 90mm,Tuberías PVC
665,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø50mm Long. 200mm EXTRALARGA,Tuberías PVC
666,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø63mm Long. 100mm,Tuberías PVC
667,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø63mm Long. 200mm EXTRALARGA,Tuberías PVC
668,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø75mm Long. 100mm,Tuberías PVC
669,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø75mm Long. 200mm EXTRALARGA,Tuberías PVC
670,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø90mm Long. 115mm,Tuberías PVC
671,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø90mm Long. 200mm EXTRALARGA,Tuberías PVC
672,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø110mm Long. 115mm,Tuberías PVC
673,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø110mm Long. 200mm EXTRALARGA,Tuberías PVC
674,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø125mm Long. 220mm,Tuberías PVC
675,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø140mm Long. 220mm,Tuberías PVC
676,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø160mm Long. 120mm,Tuberías PVC
677,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø160mm Long. 220mm EXTRALARGA,Tuberías PVC
678,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø180mm Long. 220mm,Tuberías PVC
679,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø200mm Long. 220mm,Tuberías PVC
680,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø225mm Long. 235mm,Tuberías PVC
681,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø250mm Long. 240mm,Tuberías PVC
682,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø280mm Long. 240mm,Tuberías PVC
683,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø315mm Long. 250mm,Tuberías PVC
684,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø355mm Long. 250mm,Tuberías PVC
685,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø400mm Long. 250mm,Tuberías PVC
686,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø450mm Long. 300mm,Tuberías PVC
687,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø500mm Long. 300mm,Tuberías PVC
688,JUNTAMAS PLÁSTICA P/CAÑO PVC Ø630mm Long. 330mm,Tuberías PVC
721,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 50mm Dext:68mm C3 Long: 200mm,Tuberías PVC
722,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 50mm Dext:74mm C5 Long: 200mm,Tuberías PVC
723,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 50mm Dext:79mm C7 Long: 200mm,Tuberías PVC
724,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 60mm Dext:78 a 86 mm C3-5-7 Long: 200mm,Tuberías PVC
725,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 75mm Dext:93mm C3 Long: 200mm,Tuberías PVC
726,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 75mm Dext:98 a 105 mm C5-7-10 Long: 200mm,Tuberías PVC
727,JUNTAMASPLÁSTICA P/CAÑO AºCº  ØDn: 100mm Dext:118 a 124mm C3 Long: 220mm,Tuberías PVC
728,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 100mm Dext:131 a 137mm C5-7-10 Long: 220mm,Tuberías PVC
729,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 125mm Dext:145 a 153mm C3-5-7-10 Long: 220mm,Tuberías PVC
730,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 150mm Dext:170 a 174mm C3-5 Long: 220mm,Tuberías PVC
731,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 150mm Dext:180 a 184mm C7-10 Long: 220mm,Tuberías PVC
732,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 175mm Dext:197 a 201mm C3-5 Long: 220mm,Tuberías PVC
733,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 175mm Dext:211 a 215mm C7-10 Long: 235mm,Tuberías PVC
734,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 200mm Dext:222 a 226mm C3 Long: 235mm,Tuberías PVC
735,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 200mm Dext:230 a 238mm C5-7-10 Long: 240mm,Tuberías PVC
736,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 225mm Dext:247mm C3 Long: 250mm,Tuberías PVC
737,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 250mm Dext:274 a 280mm C3 Long: 250mm,Tuberías PVC
738,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 250mm Dext:286 a 294mm C5-7-10 Long: 250mm,Tuberías PVC
739,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 300mm Dext:328mm C3 Long: 250mm,Tuberías PVC
740,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 300mm Dext:344 a 354mm C5-7-10 Long: 250mm,Tuberías PVC
741,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 350mm Dext:382mm C3 Long: 260mm,Tuberías PVC
742,JUNTAMAS PLÁSTICAP/CAÑO AºCº  ØDn: 350mm Dext:400 a 411mm C5-7-10 Long: 260mm,Tuberías PVC
743,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 400mm Dext:458 a 464mm C5-7 Long: 300mm,Tuberías PVC
744,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 400mm Dext:490mm C10 Long: 300mm,Tuberías PVC
745,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 450mm Dext:490mm C3 Long: 300mm,Tuberías PVC
746,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 500mm C5,Tuberías PVC
747,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 500mm Dext:572 a 584mm C5-7-10 Long: 330mm,Tuberías PVC
748,JUNTAMAS PLÁSTICA P/CAÑO AºCº  ØDn: 600mm C5-7,Tuberías PVC
785,JUNTAMAS PLÁSTICA AMPLIA TOLERANCIA P/CAÑO AºCº Ø60mm C 3-5-7,Tuberías PVC
786,JUNTAMAS PLÁSTICA AMPLIA TOLERANCIA P/CAÑO AºCº Ø75mm C 3-5-7,Tuberías PVC
787,JUNTAMAS PLÁSTICA AMPLIA TOLERANCIA P/CAÑO AºCº Ø75mm C 5-7-10,Tuberías PVC
788,JUNTAMAS PLÁSTICA AMPLIA TOLERANCIA P/CAÑO AºCº Ø90mm C 3-5-7,Tuberías PVC
789,JUNTAMAS PLÁSTICA AMPLIA TOLERANCIA P/CAÑO AºCº Ø100mm C3-5-7,Tuberías PVC
790,JUNTAMAS PLÁSTICA AMPLIA TOLERANCIA P/CAÑO AºCº Ø125mm C3-5-7,Tuberías PVC
791,JUNTAMAS PLÁSTICA AMPLIA TOLERANCIA P/CAÑO AºCº Ø150mm C 3-5,Tuberías PVC
808,JUNTAMAS H°F° TRANSICIÓN A°C° A PVC  Ø68-50mm,Juntamas
809,JUNTAMAS H°F° TRANSICIÓN A°C° A PVC  Ø68-63mm,Juntamas
810,JUNTAMAS H°F° TRANSICIÓN A°C° A PVC  Ø74-50mm,Juntamas
811,JUNTAMAS H°F° TRANSICIÓN A°C° A PVC  Ø74-63mm,Juntamas
812,JUNTAMAS H°F° TRANSICIÓN A°C° A PVC  Ø89-63mm,Juntamas
813,JUNTAMAS H°F° TRANSICIÓN A°C° A PVC  Ø93-50mm,Juntamas
814,JUNTAMAS H°F° TRANSICIÓN A°C° A PVC  Ø93-63mm,Juntamas
815,JUNTAMAS  H°F°  TRANSICIÓN A°C° A PVC  Ø93-75mm,Juntamas
816,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø93-90mm,Juntamas
817,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø99-50mm,Juntamas
818,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø99-63mm,Juntamas
819,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø99-75mm,Juntamas
820,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø99-90mm,Juntamas
821,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø124-110mm,Juntamas
822,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø151-110mm,Juntamas
824,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø170-160mm,Juntamas
825,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø174-160mm,Juntamas
826,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø195-125mm,Juntamas
827,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø151-200mm,Juntamas
828,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø225-200mm,Juntamas
829,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø234-200mm,Juntamas
830,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø259-200mm,Juntamas
831,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø290-225mm,Juntamas
832,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø290-250mm,Juntamas
833,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø328-315mm,Juntamas
834,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø344-315mm,Juntamas
835,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø348-315mm,Juntamas
836,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø382-355mm,Juntamas
837,JUNTAMAS  H°F° TRANSICIÓN A°C° A PVC  Ø436-355mm,Juntamas
838,JUNTAMAS  H°F° TRANSICIÓN A°C° A PRFV  Ø390-410mm,Juntamas
839,JUNTAMAS  H°F° TRANSICIÓN PVC A ACERO  Ø160-114mm,Juntamas
840,JUNTAMAS  H°F° TRANSICIÓN PRFV A PVC  Ø406-400mm,Juntamas
841,JUNTAMAS  H°F° TRANSICIÓN PRFV A PVC  Ø408-400mm,Juntamas
842,JUNTAMAS  H°F° TRANSICIÓN PRFV A PVC  Ø508-500mm,Juntamas
866,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 60mm 78-86mm PVC75,Juntamas
867,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 60mm 78-86mm PVC90,Juntamas
868,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 75mm 99-105mm PVC75,Juntamas
869,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 75mm 99-105mm PVC90,Juntamas
870,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 75mm 99-105mm PVC110,Juntamas
871,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 100mm 118mm PVC110,Juntamas
872,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 100mm 131-137mm PVC110,Juntamas
873,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 100mm 131-137mm PVC140,Juntamas
874,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 125mm 145-153mm PVC125,Juntamas
875,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 150mm 170-174mm PVC160,Juntamas
876,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 150mm 180-184mm PVC160,Juntamas
877,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 175mm 210mm PVC200,Juntamas
878,JUNTAMAS PVC TRANSICIÓN A°C° A PVC  ØDn: 200mm 230-238mm PVC200,Juntamas
910,JUNTAMAS PVC REDUCCIÓN  PVC 50 A 40,Juntamas
911,JUNTAMAS PVC REDUCCIÓN  PVC 63 A 50,Juntamas
912,JUNTAMAS PVC REDUCCIÓN  PVC 75 A 63,Juntamas
913,JUNTAMAS PVC REDUCCIÓN  PVC 90 A 75 EXTRALARGA,Juntamas
914,JUNTAMAS PVC REDUCCIÓN  PVC 110 A 90 EXTRALARGA,Juntamas
915,JUNTAMAS PVC REDUCCIÓN  PVC 125 A 110 EXTRALARGA,Juntamas
916,JUNTAMAS PVC REDUCCIÓN  PVC 140 A 125 EXTRALARGA,Juntamas
917,JUNTAMAS PVC REDUCCIÓN  PVC 160 A 140 EXTRALARGA,Juntamas
918,JUNTAMAS PVC REDUCCIÓN  PVC 180 A 160 EXTRALARGA,Juntamas
919,JUNTAMAS PVC REDUCCIÓN  PVC 200 A 180 EXTRALARGA,Juntamas
920,JUNTAMAS PVC REDUCCIÓN  PVC 225 A 200 EXTRALARGA,Juntamas
921,JUNTAMAS PVC REDUCCIÓN  PVC 250 A 225 EXTRALARGA,Juntamas
922,JUNTAMAS PVC REDUCCIÓN  PVC 315 A 280 EXTRALARGA,Juntamas
923,JUNTAMAS PVC REDUCCIÓN  PVC 355 A 315 EXTRALARGA,Juntamas
924,JUNTAMAS PVC REDUCCIÓN  PVC 400 A 355 EXTRALARGA,Juntamas
925,JUNTAMAS PVC REDUCCIÓN  PVC 450 A 400 EXTRALARGA,Juntamas
926,JUNTAMAS PVC REDUCCIÓN  PVC 500 A 450 EXTRALARGA,Juntamas
928,JUNTAMAS PARA CABEZAL PVC CC50,Hidráulicos
929,JUNTAMAS PARA CABEZAL PVC CC63,Hidráulicos
930,JUNTAMAS PARA CABEZAL PVC CC63 EXTRALARGA,Hidráulicos
931,JUNTAMAS PARA CABEZAL PVC CC75,Hidráulicos
932,JUNTAMAS PARA CABEZAL PVC CC75 EXTRALARGA,Hidráulicos
933,JUNTAMAS PARA CABEZAL PVC CC90,Hidráulicos
934,JUNTAMAS PARA CABEZAL PVC CC90 EXTRALARGA,Hidráulicos
935,JUNTAMAS PARA CABEZAL PVC CC110 EXTRALARGA,Hidráulicos
936,JUNTAMAS PARA CABEZAL PVC CC125 EXTRALARGA,Hidráulicos
937,JUNTAMAS PARA CABEZAL PVC CC140 EXTRALARGA,Hidráulicos
938,JUNTAMAS PARA CABEZAL PVC CC160 EXTRALARGA,Hidráulicos
939,JUNTAMAS PARA CABEZAL PVC CR160 EXTRALARGA,Hidráulicos
940,JUNTAMAS PARA CABEZAL PVC CC200 EXTRALARGA,Hidráulicos
941,JUNTAMAS PARA CABEZAL PVC CR200 EXTRALARGA,Hidráulicos
942,JUNTAMAS PARA CABEZAL PVC CC250 EXTRALARGA,Hidráulicos
943,JUNTAMAS PARA CABEZAL PVC CR250 EXTRALARGA,Hidráulicos
944,JUNTAMAS PARA CABEZAL PVC CR280 EXTRALARGA,Hidráulicos
945,JUNTAMAS PARA CABEZAL PVC CC315 EXTRALARGA C6,Hidráulicos
946,JUNTAMAS PARA CABEZAL PVC CC315 EXTRALARGA C10,Hidráulicos
947,JUNTAMAS PARA CABEZAL PVC CR355 EXTRALARGA C6,Hidráulicos
948,JUNTAMAS PARA CABEZAL PVC CR355 EXTRALARGA C10,Hidráulicos
953,JUNTAMAS PARA CABEZAL A°C° ØDn: 50mm Dext 116-68mm C3,Hidráulicos
954,JUNTAMAS PARA CABEZAL A°C° ØDn: 50mm Dext 122-74mm C5,Hidráulicos
962,JUNTAMAS DERIVACIÓN ØDn: 1/2'' Diam ext: 17-19mm Salida: 1/2´' ,Juntamas
963,JUNTAMAS DERIVACIÓN ØDn: 1/2'' Diam ext: 20-22mm Salida: 1/2´' ,Juntamas
964,JUNTAMAS DERIVACIÓN ØDn: 3/4'' Diam ext: 22-24mm Salida: 1/2´' ,Juntamas
965,JUNTAMAS DERIVACIÓN ØDn: 3/4'' Diam ext: 22-24mm Salida: 3/4´' ,Juntamas
966,JUNTAMAS DERIVACIÓN ØDn: 3/4'' Diam ext: 25-28mm Salida: 1/2´' ,Juntamas
967,JUNTAMAS DERIVACIÓN ØDn: 3/4'' Diam ext: 25-28mm Salida: 3/4´' ,Juntamas
968,JUNTAMAS DERIVACIÓN ØDn: 1'' Diam ext: 32-34mm Salida: 1/2´' ,Juntamas
969,JUNTAMAS DERIVACIÓN ØDn: 1'' Diam ext: 32-34mm Salida: 3/4´' ,Juntamas
970,JUNTAMAS DERIVACIÓN ØDn: 1'' Diam ext: 32-34mm Salida: 1´' ,Juntamas
971,"JUNTAMAS DERIVACIÓN ØDn: 1 1/4'' Diam ext: 42,4mm Salida: 1/2´' ",Juntamas
972,"JUNTAMAS DERIVACIÓN ØDn: 1 1/4'' Diam ext: 42,4mm Salida: 3/4´' ",Juntamas
973,"JUNTAMAS DERIVACIÓN ØDn: 1 1/4'' Diam ext: 42,4mm Salida: 1´' ",Juntamas
974,"JUNTAMAS DERIVACIÓN ØDn: 1 1/2'' Diam ext: 48,3mm Salida: 1/2´' ",Juntamas
975,"JUNTAMAS DERIVACIÓN ØDn: 1 1/2'' Diam ext: 48,3mm Salida: 3/4´' ",Juntamas
976,"JUNTAMAS DERIVACIÓN ØDn: 1 1/2'' Diam ext: 48,3mm Salida: 1´' ",Juntamas
977,"JUNTAMAS DERIVACIÓN ØDn: 1 1/2'' Diam ext: 48,3mm Salida: 1 1/2´' ",Juntamas
978,"JUNTAMAS DERIVACIÓN ØDn: 2'' Diam ext: 60,3mm Salida: 1/2´' ",Juntamas
979,"JUNTAMAS DERIVACIÓN ØDn: 2'' Diam ext: 60,3mm Salida: 3/4´' ",Juntamas
980,"JUNTAMAS DERIVACIÓN ØDn: 2'' Diam ext: 60,3mm Salida: 1´' ",Juntamas
981,"JUNTAMAS DERIVACIÓN ØDn: 2'' Diam ext: 60,3mm Salida: 2´' ",Juntamas
982,"JUNTAMAS DERIVACIÓN ØDn: 2 1/2'' Diam ext: 76,1mm Salida: 1/2´' ",Juntamas
983,"JUNTAMAS DERIVACIÓN ØDn: 2 1/2'' Diam ext: 76,1mm Salida: 3/4´' ",Juntamas
984,"JUNTAMAS DERIVACIÓN ØDn: 2 1/2'' Diam ext: 76,1mm Salida: 1´' ",Juntamas
985,"JUNTAMAS DERIVACIÓN ØDn: 2 1/2'' Diam ext: 76,1mm Salida: 2 1/2´' ",Juntamas
986,"JUNTAMAS DERIVACIÓN ØDn: 3'' Diam ext: 88,9mm Salida: 1/2´' ",Juntamas
987,"JUNTAMAS DERIVACIÓN ØDn: 3'' Diam ext: 88,9mm Salida: 3/4´' ",Juntamas
988,"JUNTAMAS DERIVACIÓN ØDn: 3'' Diam ext: 88,9mm Salida: 1´' ",Juntamas
989,"JUNTAMAS DERIVACIÓN ØDn: 3'' Diam ext: 88,9mm Salida: 2´' ",Juntamas
990,"JUNTAMAS DERIVACIÓN ØDn: 3'' Diam ext: 88,9mm Salida: 2 1/2´' ",Juntamas
991,"JUNTAMAS DERIVACIÓN ØDn: 4'' Diam ext: 114,3 mm Salida: 1/2´' ",Juntamas
992,"JUNTAMAS DERIVACIÓN ØDn: 4'' Diam ext: 114,3 mm Salida: 3/4´' ",Juntamas
993,"JUNTAMAS DERIVACIÓN ØDn: 4'' Diam ext: 114,3 mm Salida: 1´' ",Juntamas
994,"JUNTAMAS DERIVACIÓN ØDn: 4'' Diam ext: 114,3 mm Salida: 2´' ",Juntamas
995,"JUNTAMAS DERIVACIÓN ØDn: 4'' Diam ext: 114,3 mm Salida: 2 1/2´' ",Juntamas
996,"JUNTAMAS DERIVACIÓN ØDn: 4'' Diam ext: 114,3 mm Salida: 3´' ",Juntamas
997,"JUNTAMAS DERIVACIÓN ØDn: 5'' Diam ext: 141,3 mm Salida: 1/2´' ",Juntamas
998,"JUNTAMAS DERIVACIÓN ØDn: 5'' Diam ext: 141,3 mm Salida: 3/4´' ",Juntamas
999,"JUNTAMAS DERIVACIÓN ØDn: 5'' Diam ext: 141,3 mm Salida: 1´' ",Juntamas
1000,"JUNTAMAS DERIVACIÓN ØDn: 5'' Diam ext: 141,3 mm Salida: 2 1/2´' ",Juntamas
1001,"JUNTAMAS DERIVACIÓN ØDn: 5'' Diam ext: 141,3 mm Salida: 3´' ",Juntamas
1002,"JUNTAMAS DERIVACIÓN ØDn: 6'' Diam ext: 168,3 mm Salida: 1/2´' ",Juntamas
1003,"JUNTAMAS DERIVACIÓN ØDn: 6'' Diam ext: 168,3 mm Salida: 3/4´' ",Juntamas
1004,"JUNTAMAS DERIVACIÓN ØDn: 6'' Diam ext: 168,3 mm Salida: 1´' ",Juntamas
1005,"JUNTAMAS DERIVACIÓN ØDn: 6'' Diam ext: 168,3 mm Salida: 2´' ",Juntamas
1006,"JUNTAMAS DERIVACIÓN ØDn: 6'' Diam ext: 168,3 mm Salida: 2 1/2´' ",Juntamas
1007,"JUNTAMAS DERIVACIÓN ØDn: 6'' Diam ext: 168,3 mm Salida: 3´' ",Juntamas
1008,"JUNTAMAS DERIVACIÓN ØDn: 6'' Diam ext: 168,3 mm Salida: 4´' ",Juntamas
1012,JUNTAMAS DERIVACIÓN ØDn: 10'' Diam ext: 254 mm Salida: 2 1/2´' ,Juntamas
1013,JUNTAMAS DERIVACIÓN ØDn: 10'' Diam ext: 254 mm Salida: 3´' ,Juntamas
1014,JUNTAMAS DERIVACIÓN ØDn: 10'' Diam ext: 254 mm Salida: 4´' ,Juntamas
1015,"JUNTAMAS DERIVACIÓN ØDn: 12'' Diam ext: 304,8 mm Salida: 2 1/2´' ",Juntamas
1016,"JUNTAMAS DERIVACIÓN ØDn: 12'' Diam ext: 304,8 mm Salida: 3´' ",Juntamas
1017,"JUNTAMAS DERIVACIÓN ØDn: 12'' Diam ext: 304,8 mm Salida: 4´' ",Juntamas
1018,"JUNTAMAS DERIVACIÓN ØDn: 14'' Diam ext: 355,6 mm Salida: 2 1/2´' ",Juntamas
1019,"JUNTAMAS DERIVACIÓN ØDn: 14'' Diam ext: 355,6 mm Salida: 3´' ",Juntamas
1020,"JUNTAMAS DERIVACIÓN ØDn: 14'' Diam ext: 355,6 mm Salida: 4´' ",Juntamas
1021,"JUNTAMAS DERIVACIÓN ØDn: 16'' Diam ext: 406,4 mm Salida: 2 1/2´' ",Juntamas
1022,"JUNTAMAS DERIVACIÓN ØDn: 16'' Diam ext: 406,4 mm Salida: 3´' ",Juntamas
1023,"JUNTAMAS DERIVACIÓN ØDn: 16'' Diam ext: 406,4 mm Salida: 4´' ",Juntamas
1034,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 40 mm Salida: 1/2´' ,Juntamas
1035,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 40 mm Salida: 3/4´' ,Juntamas
1036,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 40 mm Salida: 1´' ,Juntamas
1037,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 50 mm Salida: 1/2´' ,Juntamas
1038,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 50 mm Salida: 3/4´' ,Juntamas
1039,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 50 mm Salida: 1´' ,Juntamas
1040,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 63 mm Salida: 1/2´' ,Juntamas
1041,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 63 mm Salida: 3/4´' ,Juntamas
1042,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 63 mm Salida: 1´' ,Juntamas
1043,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 75 mm Salida: 1/2´' ,Juntamas
1044,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 75 mm Salida: 3/4´' ,Juntamas
1045,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 75 mm Salida: 1´' ,Juntamas
1046,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 90 mm Salida: 1/2´' ,Juntamas
1047,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 90 mm Salida: 3/4´' ,Juntamas
1048,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 90 mm Salida: 1´' ,Juntamas
1049,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 110 mm Salida: 1/2´' ,Juntamas
1050,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 110 mm Salida: 3/4´' ,Juntamas
1051,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 110 mm Salida: 1´' ,Juntamas
1052,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 125 mm Salida: 1/2´' ,Juntamas
1053,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 125 mm Salida: 3/4´' ,Juntamas
1054,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 125 mm Salida: 1´' ,Juntamas
1055,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 140 mm Salida: 1/2´' ,Juntamas
1056,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 140 mm Salida: 3/4´' ,Juntamas
1057,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 140 mm Salida: 1´' ,Juntamas
1058,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 160 mm Salida: 1/2´' ,Juntamas
1059,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 160 mm Salida: 3/4´' ,Juntamas
1060,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 160 mm Salida: 1´' ,Juntamas
1061,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 200 mm Salida: 1/2´' ,Juntamas
1062,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 200mm Salida: 3/4´' ,Juntamas
1063,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 200mm Salida: 1´' ,Juntamas
1064,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 200 mm Salida: 2´' ,Juntamas
1065,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 225 mm Salida: 1/2´' ,Juntamas
1066,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 225 mm Salida: 3/4´' ,Juntamas
1067,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 225 mm Salida: 1´' ,Juntamas
1068,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 225 mm Salida: 2´' ,Juntamas
1069,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 250 mm Salida: 1/2´' ,Juntamas
1070,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 250 mm Salida: 3/4´' ,Juntamas
1071,JUNTAMAS TOMA DE AGUA C/O'RING Diam ext: 250 mm Salida: 1´' ,Juntamas
